"Date","Time","Day","Station","Code","Min.Delay","Min.Gap","Bound","Line","Vehicle","Hour"
"2023-01-01T00:00:00Z",2H 22M 0S,"Sunday","MUSEUM STATION","MUPAA",3,9,"S","YU",5931,2
"2023-01-01T00:00:00Z",2H 30M 0S,"Sunday","KIPLING STATION","MUIS",0,0,"E","BD",5341,2
"2023-01-01T00:00:00Z",2H 33M 0S,"Sunday","WARDEN STATION","SUO",0,0,"W","BD",0,2
"2023-01-01T00:00:00Z",3H 17M 0S,"Sunday","KEELE STATION","MUIS",0,0,NA,"BD",0,3
"2023-01-01T00:00:00Z",7H 16M 0S,"Sunday","BATHURST STATION","MUIS",0,0,NA,"BD",0,7
"2023-01-01T00:00:00Z",7H 44M 0S,"Sunday","JANE STATION","MUNCA",0,0,NA,"BD",0,7
"2023-01-01T00:00:00Z",7H 50M 0S,"Sunday","WOODBINE STATION","MUNCA",0,0,NA,"BD",0,7
"2023-01-01T00:00:00Z",8H 2M 0S,"Sunday","VAUGHAN MC STATION","TUNOA",6,12,"S","YU",5451,8
"2023-01-01T00:00:00Z",8H 11M 0S,"Sunday","GREENWOOD STATION","MUNOA",5,10,"E","BD",0,8
"2023-01-01T00:00:00Z",8H 13M 0S,"Sunday","ROYAL YORK STATION","EUSC",0,0,"W","BD",5031,8
"2023-01-01T00:00:00Z",8H 15M 0S,"Sunday","KEELE STATION","TUNOA",5,10,"W","BD",0,8
"2023-01-01T00:00:00Z",8H 16M 0S,"Sunday","GREENWOOD STATION","TUNOA",5,10,"E","BD",0,8
"2023-01-01T00:00:00Z",8H 19M 0S,"Sunday","DONLANDS STATION","TUNOA",4,8,"W","BD",0,8
"2023-01-01T00:00:00Z",8H 21M 0S,"Sunday","GREENWOOD STATION","TUNOA",5,10,"E","BD",0,8
"2023-01-01T00:00:00Z",8H 24M 0S,"Sunday","EGLINTON STATION","SUG",6,12,"S","YU",5771,8
"2023-01-01T00:00:00Z",8H 31M 0S,"Sunday","GREENWOOD STATION","TUNOA",4,8,"E","BD",0,8
"2023-01-01T00:00:00Z",8H 38M 0S,"Sunday","EGLINTON STATION","TUNOA",6,12,"N","YU",6131,8
"2023-01-01T00:00:00Z",8H 44M 0S,"Sunday","SHEPPARD WEST STATION","TUNOA",6,12,"N","YU",5851,8
"2023-01-01T00:00:00Z",10H 54M 0S,"Sunday","EGLINTON STATION","PUSRA",4,8,"S","YU",5851,10
"2023-01-01T00:00:00Z",11H 54M 0S,"Sunday","DONLANDS STATION","TUNIP",3,7,"W","BD",5077,11
"2023-01-01T00:00:00Z",12H 28M 0S,"Sunday","ISLINGTON STATION","MUIRS",0,0,NA,"BD",0,12
"2023-01-01T00:00:00Z",13H 14M 0S,"Sunday","FINCH STATION","PUMEL",0,0,NA,"YU",0,13
"2023-01-01T00:00:00Z",13H 30M 0S,"Sunday","DUNDAS WEST STATION","MUPAA",0,0,"E","BD",5068,13
"2023-01-01T00:00:00Z",14H 39M 0S,"Sunday","DAVISVILLE STATION","SUDP",4,8,"N","YU",5546,14
"2023-01-01T00:00:00Z",15H 21M 0S,"Sunday","ROYAL YORK STATION","EUSC",0,0,"E","BD",5031,15
"2023-01-01T00:00:00Z",15H 55M 0S,"Sunday","PIONEER VILLAGE STATIO","MUSAN",5,9,"S","YU",5636,15
"2023-01-01T00:00:00Z",16H 13M 0S,"Sunday","SHEPPARD WEST STATION","SUDP",6,10,"S","YU",5451,16
"2023-01-01T00:00:00Z",16H 50M 0S,"Sunday","SHERBOURNE STATION","MUIRS",0,0,NA,"BD",0,16
"2023-01-01T00:00:00Z",17H 0M 0S,"Sunday","KING STATION","MUNCA",0,0,NA,"YU",0,17
"2023-01-01T00:00:00Z",17H 7M 0S,"Sunday","ROYAL YORK STATION","EUSC",0,0,"W","BD",5031,17
"2023-01-01T00:00:00Z",17H 27M 0S,"Sunday","GREENWOOD STATION","SUDP",9,13,"W","BD",5371,17
"2023-01-01T00:00:00Z",18H 19M 0S,"Sunday","GREENWOOD STATION","MUNCA",0,0,NA,"BD",0,18
