"Time","Date","Min.Delay","Hour"
2H 0M 0S,2022-01-01,131,2
2H 0M 0S,2022-01-01,17,2
2H 7M 0S,2022-01-01,4,2
2H 13M 0S,2022-01-01,4,2
2H 16M 0S,2022-01-01,30,2
2H 38M 0S,2022-01-01,4,2
2H 55M 0S,2022-01-01,4,2
3H 32M 0S,2022-01-01,17,3
3H 34M 0S,2022-01-01,15,3
3H 52M 0S,2022-01-01,30,3
4H 21M 0S,2022-01-01,16,4
4H 42M 0S,2022-01-01,30,4
4H 53M 0S,2022-01-01,30,4
4H 58M 0S,2022-01-01,30,4
5H 1M 0S,2022-01-01,10,5
5H 2M 0S,2022-01-01,33,5
5H 39M 0S,2022-01-01,3,5
5H 41M 0S,2022-01-01,4,5
6H 3M 0S,2022-01-01,3,6
6H 6M 0S,2022-01-01,10,6
6H 12M 0S,2022-01-01,11,6
6H 17M 0S,2022-01-01,38,6
7H 8M 0S,2022-01-01,30,7
7H 13M 0S,2022-01-01,10,7
7H 13M 0S,2022-01-01,23,7
7H 25M 0S,2022-01-01,23,7
7H 27M 0S,2022-01-01,11,7
8H 7M 0S,2022-01-01,20,8
8H 7M 0S,2022-01-01,15,8
8H 7M 0S,2022-01-01,8,8
8H 13M 0S,2022-01-01,10,8
8H 14M 0S,2022-01-01,106,8
8H 44M 0S,2022-01-01,27,8
8H 46M 0S,2022-01-01,4,8
8H 49M 0S,2022-01-01,27,8
8H 52M 0S,2022-01-01,9,8
9H 3M 0S,2022-01-01,20,9
9H 3M 0S,2022-01-01,10,9
9H 10M 0S,2022-01-01,20,9
9H 12M 0S,2022-01-01,10,9
9H 39M 0S,2022-01-01,7,9
9H 49M 0S,2022-01-01,10,9
10H 11M 0S,2022-01-01,10,10
10H 21M 0S,2022-01-01,16,10
10H 27M 0S,2022-01-01,12,10
10H 35M 0S,2022-01-01,10,10
10H 35M 0S,2022-01-01,30,10
10H 49M 0S,2022-01-01,10,10
11H 11M 0S,2022-01-01,12,11
11H 17M 0S,2022-01-01,30,11
11H 32M 0S,2022-01-01,15,11
11H 34M 0S,2022-01-01,12,11
11H 35M 0S,2022-01-01,10,11
11H 46M 0S,2022-01-01,24,11
12H 18M 0S,2022-01-01,6,12
12H 18M 0S,2022-01-01,6,12
12H 21M 0S,2022-01-01,11,12
12H 23M 0S,2022-01-01,20,12
12H 25M 0S,2022-01-01,12,12
12H 27M 0S,2022-01-01,11,12
12H 28M 0S,2022-01-01,22,12
12H 28M 0S,2022-01-01,20,12
12H 30M 0S,2022-01-01,20,12
12H 31M 0S,2022-01-01,8,12
12H 33M 0S,2022-01-01,20,12
12H 35M 0S,2022-01-01,18,12
12H 38M 0S,2022-01-01,8,12
12H 50M 0S,2022-01-01,10,12
13H 3M 0S,2022-01-01,17,13
13H 10M 0S,2022-01-01,8,13
13H 15M 0S,2022-01-01,10,13
13H 15M 0S,2022-01-01,10,13
13H 20M 0S,2022-01-01,25,13
13H 25M 0S,2022-01-01,10,13
13H 36M 0S,2022-01-01,13,13
13H 45M 0S,2022-01-01,10,13
13H 46M 0S,2022-01-01,20,13
13H 49M 0S,2022-01-01,10,13
13H 50M 0S,2022-01-01,6,13
13H 55M 0S,2022-01-01,8,13
13H 58M 0S,2022-01-01,15,13
13H 59M 0S,2022-01-01,30,13
14H 0M 0S,2022-01-01,10,14
14H 8M 0S,2022-01-01,8,14
14H 15M 0S,2022-01-01,10,14
14H 15M 0S,2022-01-01,23,14
14H 34M 0S,2022-01-01,30,14
14H 43M 0S,2022-01-01,18,14
14H 48M 0S,2022-01-01,8,14
14H 59M 0S,2022-01-01,12,14
14H 59M 0S,2022-01-01,8,14
15H 4M 0S,2022-01-01,8,15
15H 13M 0S,2022-01-01,12,15
15H 25M 0S,2022-01-01,10,15
15H 45M 0S,2022-01-01,26,15
16H 22M 0S,2022-01-01,6,16
16H 37M 0S,2022-01-01,8,16
16H 44M 0S,2022-01-01,24,16
17H 0M 0S,2022-01-01,30,17
17H 31M 0S,2022-01-01,15,17
17H 31M 0S,2022-01-01,18,17
17H 44M 0S,2022-01-01,24,17
17H 45M 0S,2022-01-01,36,17
17H 52M 0S,2022-01-01,25,17
18H 0M 0S,2022-01-01,20,18
18H 22M 0S,2022-01-01,8,18
18H 35M 0S,2022-01-01,4,18
18H 43M 0S,2022-01-01,7,18
19H 3M 0S,2022-01-01,25,19
19H 7M 0S,2022-01-01,29,19
19H 15M 0S,2022-01-01,10,19
19H 35M 0S,2022-01-01,24,19
19H 44M 0S,2022-01-01,10,19
19H 44M 0S,2022-01-01,9,19
19H 46M 0S,2022-01-01,10,19
20H 10M 0S,2022-01-01,9,20
20H 13M 0S,2022-01-01,10,20
20H 17M 0S,2022-01-01,20,20
20H 29M 0S,2022-01-01,10,20
20H 50M 0S,2022-01-01,10,20
20H 51M 0S,2022-01-01,10,20
20H 53M 0S,2022-01-01,10,20
20H 55M 0S,2022-01-01,20,20
21H 17M 0S,2022-01-01,8,21
21H 31M 0S,2022-01-01,10,21
21H 37M 0S,2022-01-01,20,21
22H 4M 0S,2022-01-01,15,22
22H 49M 0S,2022-01-01,10,22
22H 49M 0S,2022-01-01,10,22
23H 4M 0S,2022-01-01,9,23
23H 34M 0S,2022-01-01,10,23
23H 49M 0S,2022-01-01,10,23
28M 0S,2022-01-01,22,0
57M 0S,2022-01-01,15,0
1H 3M 0S,2022-01-01,10,1
1H 12M 0S,2022-01-01,25,1
1H 32M 0S,2022-01-01,15,1
1H 35M 0S,2022-01-01,18,1
1H 48M 0S,2022-01-01,30,1
2H 1M 0S,2022-01-02,30,2
2H 10M 0S,2022-01-02,30,2
2H 12M 0S,2022-01-02,30,2
2H 57M 0S,2022-01-02,11,2
2H 58M 0S,2022-01-02,8,2
3H 57M 0S,2022-01-02,30,3
4H 52M 0S,2022-01-02,30,4
5H 14M 0S,2022-01-02,30,5
5H 35M 0S,2022-01-02,10,5
5H 40M 0S,2022-01-02,24,5
5H 42M 0S,2022-01-02,28,5
5H 58M 0S,2022-01-02,30,5
6H 4M 0S,2022-01-02,24,6
6H 22M 0S,2022-01-02,12,6
6H 22M 0S,2022-01-02,10,6
7H 21M 0S,2022-01-02,33,7
7H 24M 0S,2022-01-02,13,7
7H 33M 0S,2022-01-02,6,7
7H 35M 0S,2022-01-02,20,7
7H 40M 0S,2022-01-02,8,7
7H 44M 0S,2022-01-02,10,7
7H 45M 0S,2022-01-02,20,7
7H 45M 0S,2022-01-02,10,7
7H 46M 0S,2022-01-02,10,7
7H 47M 0S,2022-01-02,20,7
7H 49M 0S,2022-01-02,10,7
7H 50M 0S,2022-01-02,10,7
7H 53M 0S,2022-01-02,20,7
7H 54M 0S,2022-01-02,27,7
8H 30M 0S,2022-01-02,13,8
9H 32M 0S,2022-01-02,22,9
9H 36M 0S,2022-01-02,10,9
9H 42M 0S,2022-01-02,20,9
9H 43M 0S,2022-01-02,10,9
9H 57M 0S,2022-01-02,9,9
10H 20M 0S,2022-01-02,18,10
10H 54M 0S,2022-01-02,10,10
10H 54M 0S,2022-01-02,10,10
11H 17M 0S,2022-01-02,20,11
11H 22M 0S,2022-01-02,80,11
12H 30M 0S,2022-01-02,16,12
12H 46M 0S,2022-01-02,6,12
12H 52M 0S,2022-01-02,6,12
13H 2M 0S,2022-01-02,8,13
13H 23M 0S,2022-01-02,8,13
13H 26M 0S,2022-01-02,8,13
13H 30M 0S,2022-01-02,20,13
13H 34M 0S,2022-01-02,26,13
13H 39M 0S,2022-01-02,30,13
13H 42M 0S,2022-01-02,16,13
13H 46M 0S,2022-01-02,19,13
14H 0M 0S,2022-01-02,12,14
14H 1M 0S,2022-01-02,19,14
14H 9M 0S,2022-01-02,11,14
14H 15M 0S,2022-01-02,8,14
14H 21M 0S,2022-01-02,8,14
14H 29M 0S,2022-01-02,12,14
14H 29M 0S,2022-01-02,4,14
14H 36M 0S,2022-01-02,11,14
14H 43M 0S,2022-01-02,4,14
14H 51M 0S,2022-01-02,24,14
14H 51M 0S,2022-01-02,15,14
14H 52M 0S,2022-01-02,15,14
15H 6M 0S,2022-01-02,10,15
15H 7M 0S,2022-01-02,11,15
15H 8M 0S,2022-01-02,7,15
15H 11M 0S,2022-01-02,15,15
15H 16M 0S,2022-01-02,22,15
15H 26M 0S,2022-01-02,10,15
15H 34M 0S,2022-01-02,4,15
15H 48M 0S,2022-01-02,16,15
15H 48M 0S,2022-01-02,16,15
15H 48M 0S,2022-01-02,16,15
16H 1M 0S,2022-01-02,17,16
16H 9M 0S,2022-01-02,30,16
16H 20M 0S,2022-01-02,10,16
16H 23M 0S,2022-01-02,18,16
16H 32M 0S,2022-01-02,12,16
16H 34M 0S,2022-01-02,22,16
16H 37M 0S,2022-01-02,15,16
16H 37M 0S,2022-01-02,8,16
16H 43M 0S,2022-01-02,4,16
16H 50M 0S,2022-01-02,4,16
16H 52M 0S,2022-01-02,30,16
16H 58M 0S,2022-01-02,6,16
17H 0M 0S,2022-01-02,17,17
17H 4M 0S,2022-01-02,10,17
17H 5M 0S,2022-01-02,16,17
17H 14M 0S,2022-01-02,18,17
17H 23M 0S,2022-01-02,18,17
17H 30M 0S,2022-01-02,4,17
17H 32M 0S,2022-01-02,10,17
17H 34M 0S,2022-01-02,20,17
17H 46M 0S,2022-01-02,8,17
17H 49M 0S,2022-01-02,10,17
17H 50M 0S,2022-01-02,30,17
17H 54M 0S,2022-01-02,10,17
17H 55M 0S,2022-01-02,6,17
18H 10M 0S,2022-01-02,10,18
18H 20M 0S,2022-01-02,8,18
18H 29M 0S,2022-01-02,8,18
18H 34M 0S,2022-01-02,16,18
18H 42M 0S,2022-01-02,10,18
18H 42M 0S,2022-01-02,12,18
18H 42M 0S,2022-01-02,8,18
18H 44M 0S,2022-01-02,8,18
18H 52M 0S,2022-01-02,8,18
19H 12M 0S,2022-01-02,7,19
19H 12M 0S,2022-01-02,9,19
19H 17M 0S,2022-01-02,16,19
19H 25M 0S,2022-01-02,7,19
19H 32M 0S,2022-01-02,8,19
20H 8M 0S,2022-01-02,20,20
20H 30M 0S,2022-01-02,30,20
20H 37M 0S,2022-01-02,10,20
20H 47M 0S,2022-01-02,20,20
21H 0M 0S,2022-01-02,10,21
21H 1M 0S,2022-01-02,10,21
21H 33M 0S,2022-01-02,20,21
22H 0M 0S,2022-01-02,10,22
22H 6M 0S,2022-01-02,20,22
22H 35M 0S,2022-01-02,13,22
22H 39M 0S,2022-01-02,10,22
23H 1M 0S,2022-01-02,50,23
23H 18M 0S,2022-01-02,78,23
10M 0S,2022-01-02,10,0
20M 0S,2022-01-02,10,0
45M 0S,2022-01-02,10,0
55M 0S,2022-01-02,11,0
1H 34M 0S,2022-01-02,19,1
2H 11M 0S,2022-01-03,30,2
2H 43M 0S,2022-01-03,15,2
3H 0M 0S,2022-01-03,7,3
3H 23M 0S,2022-01-03,30,3
3H 23M 0S,2022-01-03,60,3
4H 28M 0S,2022-01-03,18,4
4H 47M 0S,2022-01-03,24,4
4H 53M 0S,2022-01-03,20,4
4H 55M 0S,2022-01-03,15,4
5H 2M 0S,2022-01-03,10,5
5H 4M 0S,2022-01-03,24,5
5H 8M 0S,2022-01-03,15,5
5H 16M 0S,2022-01-03,140,5
5H 22M 0S,2022-01-03,6,5
5H 30M 0S,2022-01-03,9,5
5H 35M 0S,2022-01-03,18,5
5H 36M 0S,2022-01-03,200,5
5H 37M 0S,2022-01-03,21,5
5H 37M 0S,2022-01-03,14,5
5H 38M 0S,2022-01-03,35,5
5H 44M 0S,2022-01-03,10,5
5H 45M 0S,2022-01-03,9,5
5H 46M 0S,2022-01-03,8,5
5H 47M 0S,2022-01-03,10,5
5H 50M 0S,2022-01-03,12,5
5H 50M 0S,2022-01-03,18,5
5H 51M 0S,2022-01-03,155,5
5H 51M 0S,2022-01-03,4,5
5H 52M 0S,2022-01-03,6,5
5H 57M 0S,2022-01-03,18,5
6H 0M 0S,2022-01-03,4,6
6H 2M 0S,2022-01-03,9,6
6H 4M 0S,2022-01-03,6,6
6H 4M 0S,2022-01-03,14,6
6H 7M 0S,2022-01-03,13,6
6H 8M 0S,2022-01-03,10,6
6H 11M 0S,2022-01-03,20,6
6H 13M 0S,2022-01-03,7,6
6H 13M 0S,2022-01-03,72,6
6H 14M 0S,2022-01-03,5,6
6H 14M 0S,2022-01-03,17,6
6H 17M 0S,2022-01-03,10,6
6H 17M 0S,2022-01-03,14,6
6H 20M 0S,2022-01-03,20,6
6H 20M 0S,2022-01-03,11,6
6H 22M 0S,2022-01-03,18,6
6H 24M 0S,2022-01-03,8,6
6H 25M 0S,2022-01-03,10,6
6H 29M 0S,2022-01-03,11,6
6H 30M 0S,2022-01-03,14,6
6H 31M 0S,2022-01-03,6,6
6H 31M 0S,2022-01-03,18,6
6H 32M 0S,2022-01-03,12,6
6H 32M 0S,2022-01-03,11,6
6H 33M 0S,2022-01-03,5,6
6H 34M 0S,2022-01-03,18,6
6H 36M 0S,2022-01-03,4,6
6H 36M 0S,2022-01-03,9,6
6H 37M 0S,2022-01-03,5,6
6H 37M 0S,2022-01-03,9,6
6H 39M 0S,2022-01-03,10,6
6H 42M 0S,2022-01-03,11,6
6H 50M 0S,2022-01-03,7,6
6H 52M 0S,2022-01-03,10,6
6H 57M 0S,2022-01-03,15,6
6H 57M 0S,2022-01-03,11,6
6H 59M 0S,2022-01-03,7,6
6H 59M 0S,2022-01-03,30,6
7H 0M 0S,2022-01-03,6,7
7H 0M 0S,2022-01-03,15,7
7H 2M 0S,2022-01-03,7,7
7H 3M 0S,2022-01-03,10,7
7H 3M 0S,2022-01-03,8,7
7H 4M 0S,2022-01-03,10,7
7H 9M 0S,2022-01-03,6,7
7H 19M 0S,2022-01-03,7,7
7H 19M 0S,2022-01-03,15,7
7H 26M 0S,2022-01-03,9,7
7H 26M 0S,2022-01-03,5,7
7H 33M 0S,2022-01-03,5,7
7H 47M 0S,2022-01-03,17,7
7H 47M 0S,2022-01-03,79,7
7H 57M 0S,2022-01-03,10,7
7H 57M 0S,2022-01-03,32,7
8H 2M 0S,2022-01-03,7,8
8H 10M 0S,2022-01-03,17,8
8H 23M 0S,2022-01-03,6,8
8H 28M 0S,2022-01-03,9,8
8H 34M 0S,2022-01-03,13,8
8H 43M 0S,2022-01-03,6,8
8H 45M 0S,2022-01-03,4,8
8H 50M 0S,2022-01-03,10,8
8H 53M 0S,2022-01-03,5,8
9H 2M 0S,2022-01-03,9,9
9H 6M 0S,2022-01-03,4,9
9H 6M 0S,2022-01-03,24,9
9H 7M 0S,2022-01-03,8,9
9H 11M 0S,2022-01-03,20,9
9H 17M 0S,2022-01-03,20,9
9H 22M 0S,2022-01-03,30,9
9H 26M 0S,2022-01-03,20,9
9H 32M 0S,2022-01-03,20,9
10H 0M 0S,2022-01-03,14,10
10H 11M 0S,2022-01-03,9,10
10H 28M 0S,2022-01-03,5,10
10H 31M 0S,2022-01-03,10,10
10H 39M 0S,2022-01-03,23,10
10H 47M 0S,2022-01-03,10,10
10H 49M 0S,2022-01-03,20,10
10H 57M 0S,2022-01-03,18,10
11H 14M 0S,2022-01-03,10,11
11H 25M 0S,2022-01-03,9,11
11H 39M 0S,2022-01-03,10,11
11H 43M 0S,2022-01-03,5,11
12H 2M 0S,2022-01-03,9,12
12H 3M 0S,2022-01-03,12,12
12H 10M 0S,2022-01-03,7,12
12H 18M 0S,2022-01-03,23,12
12H 21M 0S,2022-01-03,12,12
12H 40M 0S,2022-01-03,30,12
12H 43M 0S,2022-01-03,13,12
12H 49M 0S,2022-01-03,12,12
12H 50M 0S,2022-01-03,23,12
12H 59M 0S,2022-01-03,7,12
12H 59M 0S,2022-01-03,7,12
13H 7M 0S,2022-01-03,23,13
